Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.10,0,0.027,Completed
SSI,314,50,50,0.10,1,0.030,Completed
SSI,314,50,50,0.10,2,0.026,Completed
SSI,314,50,50,0.10,3,0.021,Completed
SSI,314,50,50,0.10,4,0.023,Completed
SSI,314,50,50,0.10,5,0.022,Completed
SSI,314,50,50,0.10,6,0.027,Completed
SSI,314,50,50,0.10,7,0.025,Completed
SSI,314,50,50,0.10,8,0.025,Completed
SSI,314,50,50,0.10,9,0.031,Completed
SSI,314,50,50,0.10,10,0.028,Completed
SSI,314,50,50,0.10,11,0.024,Completed
SSI,314,50,50,0.10,12,0.027,Completed
SSI,314,50,50,0.10,13,0.025,Completed
SSI,314,50,50,0.10,14,0.026,Completed
SSI,314,50,50,0.10,15,0.029,Completed
SSI,314,50,50,0.10,16,0.031,Completed
SSI,314,50,50,0.10,17,0.028,Completed
SSI,314,50,50,0.10,18,0.023,Completed
SSI,314,50,50,0.10,19,0.026,Completed
SSI,314,50,50,0.10,20,0.026,Completed
SSI,314,50,50,0.10,21,0.030,Completed
SSI,314,50,50,0.10,22,0.027,Completed
SSI,314,50,50,0.10,23,0.037,Completed
SSI,314,50,50,0.10,24,0.035,Completed
SSI,314,50,50,0.10,25,0.031,Completed
SSI,314,50,50,0.10,26,0.027,Completed
SSI,314,50,50,0.10,27,0.033,Completed
SSI,314,50,50,0.10,28,0.021,Completed
SSI,314,50,50,0.10,29,0.025,Completed
SSI,314,50,50,0.10,30,0.036,Completed
SSI,314,50,50,0.10,31,0.031,Completed
SSI,314,50,50,0.10,32,0.033,Completed
SSI,314,50,50,0.10,33,0.025,Completed
SSI,314,50,50,0.10,34,0.026,Completed
SSI,314,50,50,0.10,35,0.029,Completed
SSI,314,50,50,0.10,36,0.019,Completed
SSI,314,50,50,0.10,37,0.023,Completed
SSI,314,50,50,0.10,38,0.025,Completed
SSI,314,50,50,0.10,39,0.026,Completed
SSI,314,50,50,0.10,40,0.025,Completed
SSI,314,50,50,0.10,41,0.023,Completed
SSI,314,50,50,0.10,42,0.029,Completed
SSI,314,50,50,0.10,43,0.030,Completed
SSI,314,50,50,0.10,44,0.022,Completed
SSI,314,50,50,0.10,45,0.025,Completed
SSI,314,50,50,0.10,46,0.023,Completed
SSI,314,50,50,0.10,47,0.024,Completed
SSI,314,50,50,0.10,48,0.029,Completed
SSI,314,50,50,0.10,49,0.030,Completed
SSI,314,50,50,0.10,50,0.019,Completed
SSI,314,50,50,0.10,51,0.024,Completed
SSI,314,50,50,0.10,52,0.028,Completed
SSI,314,50,50,0.10,53,0.029,Completed
SSI,314,50,50,0.10,54,0.023,Completed
SSI,314,50,50,0.10,55,0.031,Completed
SSI,314,50,50,0.10,56,0.028,Completed
SSI,314,50,50,0.10,57,0.020,Completed
SSI,314,50,50,0.10,58,0.025,Completed
SSI,314,50,50,0.10,59,0.027,Completed
SSI,314,50,50,0.10,60,0.029,Completed
SSI,314,50,50,0.10,61,0.025,Completed
SSI,314,50,50,0.10,62,0.029,Completed
SSI,314,50,50,0.10,63,0.020,Completed
SSI,314,50,50,0.10,64,0.025,Completed
SSI,314,50,50,0.10,65,0.027,Completed
SSI,314,50,50,0.10,66,0.027,Completed
SSI,314,50,50,0.10,67,0.025,Completed
SSI,314,50,50,0.10,68,0.029,Completed
SSI,314,50,50,0.10,69,0.024,Completed
SSI,314,50,50,0.10,70,0.020,Completed
SSI,314,50,50,0.10,71,0.023,Completed
SSI,314,50,50,0.10,72,0.032,Completed
SSI,314,50,50,0.10,73,0.035,Completed
SSI,314,50,50,0.10,74,0.028,Completed
SSI,314,50,50,0.10,75,0.029,Completed
SSI,314,50,50,0.10,76,0.020,Completed
SSI,314,50,50,0.10,77,0.024,Completed
SSI,314,50,50,0.10,78,0.027,Completed
SSI,314,50,50,0.10,79,0.027,Completed
SSI,314,50,50,0.10,80,0.025,Completed
SSI,314,50,50,0.10,81,0.026,Completed
SSI,314,50,50,0.10,82,0.023,Completed
SSI,314,50,50,0.10,83,0.024,Completed
SSI,314,50,50,0.10,84,0.032,Completed
SSI,314,50,50,0.10,85,0.028,Completed
SSI,314,50,50,0.10,86,0.028,Completed
SSI,314,50,50,0.10,87,0.026,Completed
SSI,314,50,50,0.10,88,0.025,Completed
SSI,314,50,50,0.10,89,0.022,Completed
SSI,314,50,50,0.10,90,0.031,Completed
SSI,314,50,50,0.10,91,0.030,Completed
SSI,314,50,50,0.10,92,0.018,Completed
SSI,314,50,50,0.10,93,0.024,Completed
SSI,314,50,50,0.10,94,0.024,Completed
SSI,314,50,50,0.10,95,0.024,Completed
SSI,314,50,50,0.10,96,0.025,Completed
SSI,314,50,50,0.10,97,0.029,Completed
SSI,314,50,50,0.10,98,0.028,Completed
SSI,314,50,50,0.10,99,0.020,Completed
SSI,314,50,50,0.11,0,0.026,Completed
SSI,314,50,50,0.11,1,0.022,Completed
SSI,314,50,50,0.11,2,0.033,Completed
SSI,314,50,50,0.11,3,0.024,Completed
SSI,314,50,50,0.11,4,0.026,Completed
SSI,314,50,50,0.11,5,0.029,Completed
SSI,314,50,50,0.11,6,0.028,Completed
SSI,314,50,50,0.11,7,0.029,Completed
SSI,314,50,50,0.11,8,0.026,Completed
